省份,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日治愈
北京,2020-06-21 11:12:36,228,821,584,9,22,0
香港,2020-06-21 11:12:36,46,1128,1077,5,1,0
上海,2020-06-21 11:12:36,23,698,668,7,0,0
四川,2020-06-21 11:12:36,16,589,570,3,0,0
河北,2020-06-21 11:12:36,16,344,322,6,3,0
甘肃,2020-06-21 11:12:36,12,151,137,2,0,0
广东,2020-06-21 11:12:36,12,1634,1614,8,0,0
陕西,2020-06-21 11:12:36,7,316,306,3,2,0
台湾,2020-06-21 11:12:36,5,446,434,7,0,0
福建,2020-06-21 11:12:36,5,363,357,1,1,0
辽宁,2020-06-21 11:12:36,4,153,147,2,0,0
天津,2020-06-21 11:12:36,3,197,191,3,0,0
重庆,2020-06-21 11:12:36,3,582,573,6,0,0
海南,2020-06-21 11:12:36,2,171,163,6,0,0
内蒙古,2020-06-21 11:12:36,2,238,235,1,0,0
浙江,2020-06-21 11:12:36,1,1269,1267,1,0,0
青海,2020-06-21 11:12:36,0,18,18,0,0,0
新疆,2020-06-21 11:12:36,0,76,73,3,0,0
宁夏,2020-06-21 11:12:36,0,75,75,0,0,0
山东,2020-06-21 11:12:36,0,792,785,7,0,0
山西,2020-06-21 11:12:36,0,198,198,0,0,0
黑龙江,2020-06-21 11:12:36,0,947,934,13,0,0
安徽,2020-06-21 11:12:36,0,991,985,6,0,0
湖北,2020-06-21 11:12:36,0,68135,63623,4512,0,0
江苏,2020-06-21 11:12:36,0,653,653,0,0,0
河南,2020-06-21 11:12:36,0,1276,1254,22,0,0
广西,2020-06-21 11:12:36,0,254,252,2,0,0
澳门,2020-06-21 11:12:36,0,45,45,0,0,0
云南,2020-06-21 11:12:36,0,185,183,2,0,0
西藏,2020-06-21 11:12:36,0,1,1,0,0,0
江西,2020-06-21 11:12:36,0,932,931,1,0,0
吉林,2020-06-21 11:12:36,0,155,153,2,0,0
贵州,2020-06-21 11:12:36,0,147,145,2,0,0
湖南,2020-06-21 11:12:36,0,1019,1015,4,0,0
