省份,城市,更新日期,现有确诊,累计确诊,累计治愈,累计死亡,今日新增确诊,今日新增治愈
北京,丰台,2020-06-21 11:12:36,154,197,43,0,10,0
北京,大兴,2020-06-21 11:12:36,44,83,39,0,8,0
北京,海淀,2020-06-21 11:12:36,11,75,64,0,3,0
北京,东城,2020-06-21 11:12:36,5,19,14,0,0,0
北京,西城,2020-06-21 11:12:36,4,57,53,0,0,0
北京,房山,2020-06-21 11:12:36,4,20,16,0,0,0
北京,门头沟,2020-06-21 11:12:36,2,5,3,0,0,0
北京,石景山,2020-06-21 11:12:36,1,15,14,0,0,0
北京,境外输入,2020-06-21 11:12:36,1,174,173,0,0,0
北京,朝阳,2020-06-21 11:12:36,1,76,75,0,0,0
北京,通州,2020-06-21 11:12:36,1,20,10,9,1,0
北京,地区待确认,2020-06-21 11:12:36,0,1,1,0,0,0
北京,外地来京,2020-06-21 11:12:36,0,25,25,0,0,0
北京,昌平,2020-06-21 11:12:36,0,29,29,0,0,0
北京,密云,2020-06-21 11:12:36,0,7,7,0,0,0
北京,顺义,2020-06-21 11:12:36,0,10,10,0,0,0
北京,怀柔,2020-06-21 11:12:36,0,7,7,0,0,0
北京,延庆,2020-06-21 11:12:36,0,1,1,0,0,0
香港,地区待确认,2020-06-21 11:12:36,46,1128,1077,5,1,0
上海,境外输入,2020-06-21 11:12:36,23,357,334,0,0,0
上海,青浦,2020-06-21 11:12:36,0,6,6,0,0,0
上海,地区待确认,2020-06-21 11:12:36,0,0,0,0,0,0
上海,宝山,2020-06-21 11:12:36,0,22,21,1,0,0
上海,嘉定,2020-06-21 11:12:36,0,9,7,2,0,0
上海,徐汇,2020-06-21 11:12:36,0,18,17,1,0,0
上海,静安,2020-06-21 11:12:36,0,16,15,1,0,0
上海,黄浦,2020-06-21 11:12:36,0,6,5,1,0,0
上海,浦东,2020-06-21 11:12:36,0,61,61,0,0,0
上海,外地来沪,2020-06-21 11:12:36,0,113,112,1,0,0
上海,崇明,2020-06-21 11:12:36,0,4,4,0,0,0
上海,金山,2020-06-21 11:12:36,0,4,4,0,0,0
上海,虹口,2020-06-21 11:12:36,0,7,7,0,0,0
上海,奉贤,2020-06-21 11:12:36,0,9,9,0,0,0
上海,杨浦,2020-06-21 11:12:36,0,9,9,0,0,0
上海,普陀,2020-06-21 11:12:36,0,11,11,0,0,0
上海,长宁,2020-06-21 11:12:36,0,13,13,0,0,0
上海,松江,2020-06-21 11:12:36,0,14,14,0,0,0
上海,闵行,2020-06-21 11:12:36,0,19,19,0,0,0
四川,境外输入,2020-06-21 11:12:36,15,48,33,0,0,0
四川,雅安,2020-06-21 11:12:36,1,8,7,0,0,0
四川,遂宁,2020-06-21 11:12:36,0,17,17,0,0,0
