province,city,update_time,nowConfirm,confirm,suspect,dead,deadRate,showRate,heal,healRate,showHeal
湖北,武汉,2020-03-26 13:01:49,3407,50006,0,2531,5.06,False,44068,88.13,True
湖北,孝感,2020-03-26 13:01:49,7,3518,0,128,3.64,False,3383,96.16,True
湖北,鄂州,2020-03-26 13:01:49,5,1394,0,59,4.23,False,1330,95.41,True
湖北,荆门,2020-03-26 13:01:49,3,928,0,39,4.20,False,886,95.47,True
湖北,襄阳,2020-03-26 13:01:49,2,1175,0,39,3.32,False,1134,96.51,True
湖北,仙桃,2020-03-26 13:01:49,2,575,0,22,3.83,False,551,95.83,True
湖北,宜昌,2020-03-26 13:01:49,2,931,0,36,3.87,False,893,95.92,True
湖北,黄石,2020-03-26 13:01:49,1,1015,0,39,3.84,False,975,96.06,True
湖北,潜江,2020-03-26 13:01:49,1,198,0,9,4.55,False,188,94.95,True
湖北,荆州,2020-03-26 13:01:49,1,1580,0,52,3.29,False,1527,96.65,True
湖北,十堰,2020-03-26 13:01:49,0,672,0,8,1.19,False,664,98.81,True
湖北,随州,2020-03-26 13:01:49,0,1307,0,45,3.44,False,1262,96.56,True
湖北,恩施州,2020-03-26 13:01:49,0,252,0,7,2.78,False,245,97.22,True
湖北,咸宁,2020-03-26 13:01:49,0,836,0,15,1.79,False,821,98.21,True
湖北,神农架,2020-03-26 13:01:49,0,11,0,0,0.00,False,11,100.00,True
湖北,黄冈,2020-03-26 13:01:49,0,2907,0,125,4.30,False,2782,95.70,True
湖北,天门,2020-03-26 13:01:49,0,496,0,15,3.02,False,481,96.98,True
香港,地区待确认,2020-03-26 13:01:49,300,410,0,4,0.98,False,106,25.85,True
台湾,地区待确认,2020-03-26 13:01:49,204,235,0,2,0.85,False,29,12.34,True
北京,境外输入,2020-03-26 13:01:49,138,149,0,0,0.00,False,11,7.38,True
北京,朝阳,2020-03-26 13:01:49,72,72,0,0,0.00,False,0,0.00,False
北京,海淀,2020-03-26 13:01:49,64,64,0,0,0.00,False,0,0.00,False
北京,西城,2020-03-26 13:01:49,53,53,0,0,0.00,False,0,0.00,False
北京,丰台,2020-03-26 13:01:49,43,43,0,0,0.00,False,0,0.00,False
北京,大兴,2020-03-26 13:01:49,39,39,0,0,0.00,False,0,0.00,False
北京,昌平,2020-03-26 13:01:49,29,29,0,0,0.00,False,0,0.00,False
北京,外地来京,2020-03-26 13:01:49,25,25,0,0,0.00,False,0,0.00,False
北京,通州,2020-03-26 13:01:49,19,19,0,0,0.00,False,0,0.00,False
北京,房山,2020-03-26 13:01:49,16,16,0,0,0.00,False,0,0.00,False
北京,东城,2020-03-26 13:01:49,14,14,0,0,0.00,False,0,0.00,False
北京,石景山,2020-03-26 13:01:49,14,14,0,0,0.00,False,0,0.00,False
北京,顺义,2020-03-26 13:01:49,10,10,0,0,0.00,False,0,0.00,False
北京,密云,2020-03-26 13:01:49,7,7,0,0,0.00,False,0,0.00,False
北京,怀柔,2020-03-26 13:01:49,7,7,0,0,0.00,False,0,0.00,False
北京,门头沟,2020-03-26 13:01:49,3,3,0,0,0.00,False,0,0.00,False
北京,延庆,2020-03-26 13:01:49,1,1,0,0,0.00,False,0,0.00,False
北京,地区待确认,2020-03-26 13:01:49,-400,0,0,8,0.00,False,392,0.00,True
上海,境外输入,2020-03-26 13:01:49,108,112,0,0,0.00,False,4,3.57,True
上海,外地来沪,2020-03-26 13:01:49,4,111,0,0,0.00,False,107,96.40,True
上海,宝山,2020-03-26 13:01:49,2,22,0,1,4.55,False,19,86.36,True
上海,嘉定,2020-03-26 13:01:49,1,9,0,1,11.11,False,7,77.78,True
上海,青浦,2020-03-26 13:01:49,0,6,0,0,0.00,False,6,100.00,True
上海,黄浦,2020-03-26 13:01:49,0,6,0,1,16.67,False,5,83.33,True
上海,浦东,2020-03-26 13:01:49,0,61,0,0,0.00,False,61,100.00,True
上海,静安,2020-03-26 13:01:49,0,16,0,1,6.25,False,15,93.75,True
上海,地区待确认,2020-03-26 13:01:49,0,0,0,0,0.00,False,0,0.00,True
上海,徐汇,2020-03-26 13:01:49,0,18,0,1,5.56,False,17,94.44,True
上海,崇明,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
上海,金山,2020-03-26 13:01:49,0,4,0,0,0.00,False,4,100.00,True
上海,虹口,2020-03-26 13:01:49,0,7,0,0,0.00,False,7,100.00,True
上海,奉贤,2020-03-26 13:01:49,0,9,0,0,0.00,False,9,100.00,True
